Date,Open,High,Low,Close,MA20,MA50,RSI14,TR,ATR14,decision,rule,reason
2024-08-01,2448.675,2461.985,2430.375,2446.325,,,,31.610000000000127,31.610000000000127,WAIT,Init,Insufficient history for indicators
2024-08-02,2446.315,2477.655,2411.135,2437.455,,,0.0,66.51999999999998,34.10357142857155,WAIT,Init,Insufficient history for indicators
2024-08-05,2444.65,2458.275,2364.435,2410.415,,,0.0,93.84000000000015,38.370459183673596,WAIT,Init,Insufficient history for indicators
2024-08-06,2410.395,2418.22,2381.87,2390.72,,,0.0,36.34999999999991,38.22614067055405,WAIT,Init,Insufficient history for indicators
2024-08-07,2391.82,2407.01,2379.24,2382.845,,,0.0,27.770000000000437,37.47927347980022,WAIT,Init,Insufficient history for indicators
2024-08-08,2381.62,2427.58,2381.1,2427.5,,,24.411938841950573,46.48000000000002,38.12218251695735,WAIT,Init,Insufficient history for indicators
2024-08-09,2427.27,2437.04,2416.97,2429.08,,,25.108575050671547,20.070000000000164,36.83274090860327,WAIT,Init,Insufficient history for indicators
2024-08-12,2430.17,2473.285,2423.945,2472.8,,,41.24494449671939,49.33999999999969,37.726116557988725,WAIT,Init,Insufficient history for indicators
2024-08-13,2471.27,2476.895,2458.595,2465.115,,,39.62861095104656,18.300000000000182,36.33853680384669,WAIT,Init,Insufficient history for indicators
2024-08-14,2466.355,2478.815,2438.255,2448.005,,,36.22485982785697,40.559999999999945,36.64006988928621,WAIT,Init,Insufficient history for indicators
2024-08-15,2447.96,2470.095,2432.525,2456.785,,,39.114806495610075,37.56999999999971,36.70649346862289,WAIT,Init,Insufficient history for indicators
2024-08-16,2456.39,2508.875,2450.855,2508.135,,,52.63363549127361,58.01999999999998,38.228886792292684,WAIT,Init,Insufficient history for indicators
2024-08-19,2509.14,2509.71,2485.93,2504.23,,,51.69363149460923,23.7800000000002,37.19682344998608,WAIT,Init,Insufficient history for indicators
2024-08-20,2503.765,2531.66,2497.45,2513.975,,,53.905993925739615,34.210000000000036,36.98347891784422,WAIT,Init,Insufficient history for indicators
2024-08-21,2513.825,2519.98,2493.92,2512.42,,,53.48505646507849,26.059999999999945,36.20323042371248,WAIT,Init,Insufficient history for indicators
2024-08-22,2511.825,2514.7,2471.12,2484.8,,,46.53430562465863,43.57999999999993,36.73014253630444,WAIT,Init,Insufficient history for indicators
2024-08-23,2484.885,2518.2,2484.5,2510.94,,,52.78776604174153,33.69999999999982,36.51370378371126,WAIT,Init,Insufficient history for indicators
2024-08-26,2512.18,2526.82,2508.89,2518.05,,,54.351700324900754,17.93000000000029,35.18629637058904,WAIT,Init,Insufficient history for indicators
2024-08-27,2517.9,2525.95,2503.83,2524.59,,,55.80200532931316,22.11999999999989,34.25298948697553,WAIT,Init,Insufficient history for indicators
2024-08-28,2524.75,2528.94,2493.98,2504.735,2467.446,,50.55101250019451,34.960000000000036,34.303490237905855,WAIT,Init,Insufficient history for indicators
2024-08-29,2504.63,2528.62,2504.1,2521.175,2471.1885,,54.37902044264024,24.519999999999982,33.60466950662686,WAIT,Init,Insufficient history for indicators
